state/region,ages,year,population
WA,under18,2006,1536926
WA,total,2008,6562231
WA,under18,2008,1560302
WA,total,2007,6461587
WA,under18,2007,1549582
WA,under18,2013,1595795
WA,total,2013,6971406
WA,total,2009,6667426
WA,under18,2009,1574403
WA,total,2010,6742256
WA,under18,2010,1581436
WA,under18,2011,1584709
WA,total,2011,6821481
WA,under18,2012,1588451
WA,total,2012,6895318
WV,total,2012,1856680
WV,under18,2012,384030
WV,total,2011,1855184
WV,under18,2011,385283
WV,under18,2010,387224
WV,total,2010,1854146
WV,total,2009,1847775
WV,under18,2009,389036
WV,total,2013,1854304
WV,under18,2013,381678
WV,total,2007,1834052
WV,under18,2007,390661
WV,total,2008,1840310
WV,under18,2008,390210
WV,total,2006,1827912
WV,under18,2006,390637
WV,total,2005,1820492
WV,under18,2005,390431
WV,total,2003,1812295
WV,under18,2003,392460
WV,total,2004,1816438
WV,under18,2004,391856
WV,total,2002,1805414
WV,under18,2002,393569
WV,total,2001,1801481
WV,under18,2001,395307
WV,total,1999,1811799
WV,under18,1999,406784
WV,total,2000,1807021
WV,under18,2000,401062
WV,total,1997,1819113
WV,under18,1997,418037
WV,under18,1998,412793
WV,total,1998,1815609
WV,under18,1996,422831
WV,total,1996,1822808
WV,total,1995,1823700
WV,under18,1995,428790
WV,under18,1994,429128
WV,total,1994,1820421
WV,under18,1992,433116
WV,total,1992,1806451
WV,total,1993,1817539
WV,under18,1993,432364
WV,total,1991,1798735
WV,under18,1991,433918
WV,under18,1990,436797
WV,total,1990,1792548
WI,under18,1990,1302869
WI,total,1990,4904562
WI,total,1991,4964343
WI,under18,1991,1314855
WI,total,1993,5084889
WI,under18,1993,1337334
WI,under18,1992,1330555
WI,total,1992,5025398
WI,under18,1994,1348110
WI,total,1994,5133678
WI,total,1995,5184836
WI,under18,1995,1351343
WI,under18,1996,1352877
WI,total,1996,5229986
WI,under18,1998,1362907
WI,total,1998,5297673
WI,total,1997,5266213
WI,under18,1997,1359712
WI,total,1999,5332666
WI,under18,1999,1367019
WI,total,2000,5373999
WI,under18,2000,1370440
WI,total,2001,5406835
WI,under18,2001,1367593
WI,total,2002,5445162
WI,under18,2002,1365315
WI,total,2004,5514026
WI,under18,2004,1354643
WI,total,2003,5479203
WI,under18,2003,1358505
WI,total,2005,5546166
WI,under18,2005,1349866
WI,total,2006,5577655
WI,under18,2006,1348785
WI,total,2008,5640996
WI,under18,2008,1345573
WI,total,2007,5610775
WI,under18,2007,1348901
WI,under18,2013,1307776
WI,total,2013,5742713
WI,total,2009,5669264
WI,under18,2009,1342411
WI,total,2010,5689060
WI,under18,2010,1336094
WI,under18,2011,1325870
WI,total,2011,5708785
WI,under18,2012,1316113
WI,total,2012,5724554
WY,total,2012,576626
WY,under18,2012,136526
WY,total,2011,567329
WY,under18,2011,135407
WY,under18,2010,135351
WY,total,2010,564222
WY,total,2009,559851
WY,under18,2009,134960
WY,total,2013,582658
WY,under18,2013,137679
WY,total,2007,534876
WY,under18,2007,128760
WY,total,2008,546043
WY,under18,2008,131511
WY,total,2006,522667
WY,under18,2006,125525
WY,total,2005,514157
WY,under18,2005,124022
WY,total,2003,503453
WY,under18,2003,124182
WY,total,2004,509106
WY,under18,2004,123974
WY,total,2002,500017
WY,under18,2002,125495
WY,total,2001,494657
WY,under18,2001,126212
WY,total,2000,494300
WY,under18,2000,128774
WY,total,1999,491780
WY,under18,1999,130793
WY,total,1997,489452
WY,under18,1997,134328
WY,under18,1998,132602
WY,total,1998,490787
WY,under18,1996,135698
WY,total,1996,488167
WY,total,1995,485160
WY,under18,1995,136785
WY,under18,1994,137733
WY,total,1994,480283
WY,under18,1992,137308
WY,total,1992,466251
WY,total,1993,473081
WY,under18,1993,137458
WY,total,1991,459260
WY,under18,1991,136720
WY,under18,1990,136078
WY,total,1990,453690
PR,under18,1990,NaN
PR,total,1990,NaN
PR,total,1991,NaN
PR,under18,1991,NaN
PR,total,1993,NaN
PR,under18,1993,NaN
PR,under18,1992,NaN
PR,total,1992,NaN
PR,under18,1994,NaN
PR,total,1994,NaN
PR,total,1995,NaN
PR,under18,1995,NaN
PR,under18,1996,NaN
PR,total,1996,NaN
PR,under18,1998,NaN
PR,total,1998,NaN
PR,total,1997,NaN
PR,under18,1997,NaN
PR,total,1999,NaN
PR,under18,1999,NaN
PR,total,2000,3810605
PR,under18,2000,1089063
PR,total,2001,3818774
PR,under18,2001,1077566
PR,total,2002,3823701
PR,under18,2002,1065051
PR,total,2004,3826878
PR,under18,2004,1035919
PR,total,2003,3826095
PR,under18,2003,1050615
PR,total,2005,3821362
PR,under18,2005,1019447
PR,total,2006,3805214
PR,under18,2006,998543
PR,total,2007,3782995
PR,under18,2007,973613
PR,total,2008,3760866
PR,under18,2008,945705
PR,under18,2013,814068
PR,total,2013,3615086
PR,total,2009,3740410
PR,under18,2009,920794
PR,total,2010,3721208
PR,under18,2010,896945
PR,under18,2011,869327
PR,total,2011,3686580
PR,under18,2012,841740
PR,total,2012,3651545
USA,under18,1990,64218512
USA,total,1990,249622814
USA,total,1991,252980942
USA,under18,1991,65313018
USA,under18,1992,66509177
USA,total,1992,256514231
USA,total,1993,259918595
USA,under18,1993,67594938
USA,under18,1994,68640936
USA,total,1994,263125826
USA,under18,1995,69473140
USA,under18,1996,70233512
USA,total,1995,266278403
USA,total,1996,269394291
USA,total,1997,272646932
USA,under18,1997,70920738
USA,under18,1998,71431406
USA,total,1998,275854116
USA,under18,1999,71946051
USA,total,2000,282162411
USA,under18,2000,72376189
USA,total,1999,279040181
USA,total,2001,284968955
USA,under18,2001,72671175
USA,total,2002,287625193
USA,under18,2002,72936457
USA,total,2003,290107933
USA,under18,2003,73100758
USA,total,2004,292805298
USA,under18,2004,73297735
USA,total,2005,295516599
USA,under18,2005,73523669
USA,total,2006,298379912
USA,under18,2006,73757714
USA,total,2007,301231207
USA,under18,2007,74019405
USA,total,2008,304093966
USA,under18,2008,74104602
USA,under18,2013,73585872
USA,total,2013,316128839
USA,total,2009,306771529
USA,under18,2009,74134167
USA,under18,2010,74119556
USA,total,2010,309326295
USA,under18,2011,73902222
USA,total,2011,311582564
USA,under18,2012,73708179
USA,total,2012,313873685
